orderID,candidate_address,is_comp,subject_address,bath_score_diff,full_baths_diff,half_baths_diff,room_count_diff,bedrooms_diff,effective_age_diff,subject_age_diff,lot_size_sf_diff,gla_diff,abs_bath_score_diff,abs_full_bath_diff,abs_half_bath_diff,abs_room_count_diff,abs_bedrooms_diff,abs_effective_age_diff,abs_subject_age_diff,abs_lot_size_sf_diff,abs_gla_diff,distance_to_subject_km,same_property_type,sold_recently
4758529,Unit 3903 - 183 Wellington Street W ,0,915 140 SIMCOE ST Toronto ON M5H4E9,,,,0.0,0.0,,,,-324.0,,,,0.0,0.0,,,,324.0,,0.0,1
4758529,Unit 104 - 4B Grange Avenue ,0,915 140 SIMCOE ST Toronto ON M5H4E9,,,,2.0,0.0,,,,326.0,,,,2.0,0.0,,,,326.0,,0.0,1
4758529,Unit 301 - 500 Richmond Street W ,0,915 140 SIMCOE ST Toronto ON M5H4E9,,,,0.0,0.0,,,,76.0,,,,0.0,0.0,,,,76.0,,0.0,1
4758529,Unit 727 - 39 Brant Street ,0,915 140 SIMCOE ST Toronto ON M5H4E9,,,,1.0,1.0,,,,626.0,,,,1.0,1.0,,,,626.0,,0.0,1
4758529,Unit 20 - 30 Nelson Street ,0,915 140 SIMCOE ST Toronto ON M5H4E9,,,,-1.0,-2.0,,,,-524.0,,,,1.0,2.0,,,,524.0,,0.0,1
4758529,117 Mcgill Street ,0,915 140 SIMCOE ST Toronto ON M5H4E9,,,,-1.0,-2.0,,,,-574.0,,,,1.0,2.0,,,,574.0,,0.0,1
4758529,Unit 2705 - 50 Lombard Street ,0,915 140 SIMCOE ST Toronto ON M5H4E9,,,,2.0,1.0,,,,426.0,,,,2.0,1.0,,,,426.0,,0.0,1
4758529,Unit 3201 - 11 Brunel Court ,0,915 140 SIMCOE ST Toronto ON M5H4E9,,,,1.0,0.0,,,,526.0,,,,1.0,0.0,,,,526.0,,0.0,1
4758529,648 Wellington Street W ,0,915 140 SIMCOE ST Toronto ON M5H4E9,,,,-2.0,-2.0,,,,-574.0,,,,2.0,2.0,,,,574.0,,0.0,1
4758529,Unit 709 - 30 Grand Trunk Crescent ,0,915 140 SIMCOE ST Toronto ON M5H4E9,,,,1.0,0.0,,,,426.0,,,,1.0,0.0,,,,426.0,,0.0,1
4758529,Unit 907 - 300 Front Street W ,0,915 140 SIMCOE ST Toronto ON M5H4E9,,,,1.0,0.0,,,,526.0,,,,1.0,0.0,,,,526.0,,0.0,1
4758529,Unit 710 - 18 Beverley Street ,0,915 140 SIMCOE ST Toronto ON M5H4E9,,,,2.0,1.0,,,,526.0,,,,2.0,1.0,,,,526.0,,0.0,1
4758529,Unit 1003 - 81 Wellesley Street E ,0,915 140 SIMCOE ST Toronto ON M5H4E9,,,,2.0,1.0,,,,626.0,,,,2.0,1.0,,,,626.0,,0.0,1
4758529,Unit 3001 - 38 Grenville Street ,0,915 140 SIMCOE ST Toronto ON M5H4E9,,,,1.0,0.0,,,,426.0,,,,1.0,0.0,,,,426.0,,0.0,1
4758529,Unit 2005 - 600 Fleet Street ,0,915 140 SIMCOE ST Toronto ON M5H4E9,,,,1.0,0.0,,,,426.0,,,,1.0,0.0,,,,426.0,,0.0,1
4758529,Unit 652 - 111 Elizabeth Street ,0,915 140 SIMCOE ST Toronto ON M5H4E9,,,,1.0,0.0,,,,526.0,,,,1.0,0.0,,,,526.0,,0.0,1
4758529,418 Ontario Street ,0,915 140 SIMCOE ST Toronto ON M5H4E9,,,,0.0,-1.0,,,,-574.0,,,,0.0,1.0,,,,574.0,,0.0,1
4758529,Unit 1212 - 88 Scott Street ,0,915 140 SIMCOE ST Toronto ON M5H4E9,,,,3.0,,,,,926.0,,,,3.0,,,,,926.0,,0.0,1
4758529,Unit 920 - 169 Fort York Boulevard ,0,915 140 SIMCOE ST Toronto ON M5H4E9,,,,1.0,1.0,,,,926.0,,,,1.0,1.0,,,,926.0,,0.0,1
4758529,Unit 6104 - 100 Harbour Street ,0,915 140 SIMCOE ST Toronto ON M5H4E9,,,,1.0,0.0,,,,426.0,,,,1.0,0.0,,,,426.0,,0.0,1
4758529,Unit 1123 - 650 Queens Quay W ,0,915 140 SIMCOE ST Toronto ON M5H4E9,,,,2.0,1.0,,,,926.0,,,,2.0,1.0,,,,926.0,,0.0,1
4758529,Unit 555 - 313 Richmond Street E ,0,915 140 SIMCOE ST Toronto ON M5H4E9,,,,1.0,0.0,,,,526.0,,,,1.0,0.0,,,,526.0,,0.0,1
4758529,Unit 426 - 775 King Street W ,0,915 140 SIMCOE ST Toronto ON M5H4E9,,,,2.0,0.0,,,,526.0,,,,2.0,0.0,,,,526.0,,0.0,1
4758529,Unit 204 - 100 Dalhousie Street ,0,915 140 SIMCOE ST Toronto ON M5H4E9,,,,1.0,0.0,,,,426.0,,,,1.0,0.0,,,,426.0,,0.0,1
4758529,Unit 2110 - 88 Harbour Street ,0,915 140 SIMCOE ST Toronto ON M5H4E9,,,,1.0,0.0,,,,426.0,,,,1.0,0.0,,,,426.0,,0.0,1
